gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
BUB1,173.35791868449678,3.259806039183636,0.5180337527620179,6.292651823946257,3.120878310531878e-10,4.5408779418238827e-07
TOP2A,309.616240185639,3.470463352089074,0.5862304629506845,5.919964197392826,3.220117112069817e-09,1.5617567993538613e-06
MCM4,494.4230439378871,3.1158758082414546,0.5224360595922589,5.964128530242101,2.459430934517606e-09,1.5617567993538613e-06
IL1B,277.415904787049,3.464854028785698,0.5920510923277845,5.852288888046521,4.848534896668404e-09,1.763654568663132e-06
CCL2,185.34618461371988,2.8353223952667093,0.4942174720904992,5.736993439899098,9.63719882448502e-09,2.804424857925141e-06
CDC25A,213.35533186182968,3.5170683645248086,0.6230502731002082,5.644919064114015,1.652589739251228e-08,3.981397737677619e-06
BBC3,133.56372936091296,-3.141545679131001,0.559046684058867,-5.619469301422777,1.915449083418786e-08,3.981397737677619e-06
IRF7,415.5756759113376,2.6356749437980964,0.48170007189406455,5.4716100278634245,4.4596532597206564e-08,8.110994366116943e-06
IRF1,161.6354654296707,2.783618264620184,0.5168842883195506,5.385379914854914,7.229178707612651e-08,1.1687172243973785e-05
OAS2,64.4876664936609,3.049675349647165,0.5767051909735367,5.288101091129429,1.2359267219305772e-07,1.7982733804089898e-05
CXCL8,395.0225812848248,2.713186052241064,0.5234818676055564,5.18296090111272,2.1839083351944517e-07,2.888715116098116e-05
FOXM1,245.49995259532673,2.437822563845175,0.498728528023172,4.888075229039051,1.0182662194018168e-06,0.00012346477910247028
PLK1,272.8430474526724,2.865465591637822,0.6002929943264025,4.77344499889292,1.8110102432133292e-06,0.00019139508886061393
CDK1,172.6680796703174,2.4818055533209753,0.5202868286424515,4.770071846324805,1.841602229586663e-06,0.00019139508886061393
BAK1,192.4221135314797,-2.790266569505468,0.5879179745023186,-4.746013373493931,2.0746500104579983e-06,0.00020124105101442584
TNF,363.17824252883224,2.3172887114371217,0.4936534286448993,4.6941610793592226,2.677030367186493e-06,0.0002434424490160217
CENPE,94.92445392813484,3.132288279677214,0.6883216604066162,4.550617044111119,5.348882290121559e-06,0.00045780139600746285
IFIT3,63.13817375707683,2.64759449783898,0.587691790396709,4.505073137148601,6.635008665825288e-06,0.0005363298671542107
KIF11,18.847882038189457,3.4370976589728475,0.7686375679735489,4.471675341129212,7.760918859615943e-06,0.0005943229968811156
CASP7,14.585306577066305,-3.3863968497245147,0.7697280744168362,-4.399471660547301,1.0851474656218018e-05,0.0007894447812398608
NFKB1,109.81856191569904,2.5537775580237714,0.5940381170177265,4.299012950287777,1.7156044905316248e-05,0.0011886688255826258
RRM2,187.2365480553534,2.6883230461823833,0.6358185711980345,4.228129167597194,2.35642505560286e-05,0.0015584538435918914
CCNA2,700.0815821158445,2.3081066987648553,0.547268060693288,4.217506674591805,2.470185103294971e-05,0.001562660576214862
MCM6,66.9343040239488,2.4806469067382784,0.5956765710235254,4.164419128447321,3.121462412797306e-05,0.0018923865877583667
TTK,194.84562885313088,2.8459225926594667,0.6974613839042573,4.080401665721662,4.49579456246384e-05,0.002616552435353955
AURKA,118.53089962465744,2.164031278917173,0.5387081382933341,4.017075527711497,5.8924842903750745e-05,0.003297524862498359
CCNB2,311.7913308260884,1.911099693800261,0.4786025020953291,3.9930833738508196,6.521962329312015e-05,0.003514613033018141
TPX2,49.42356056505599,2.523113339160405,0.6481114530128916,3.8930238424751575,9.900241798903573e-05,0.005144589934787392
BUB1B,23.577471279547282,3.20545892482387,0.8309073516064562,3.8577813984032185,0.00011442091171837695,0.005645542510664758
STAT2,590.623900151268,2.4916806843433923,0.6465884504829745,3.8535805619203547,0.0001164029383642218,0.005645542510664758
PTTG1,230.7692099708588,2.6737655393755677,0.7101826321120788,3.764898518320288,0.00016661673719188714,0.00782023718110309
CASP9,61.926297352274,-2.4143081431336713,0.6496468307283534,-3.71633944619858,0.00020212998397243871,0.009190597708746823
MCM3,20.66470877160359,2.5504437579084875,0.6894101905557217,3.6994575839568293,0.0002160607449229336,0.009526314662511163
MAD2L1,538.9580172091571,2.1709651397530627,0.5889145208936386,3.6863841232149746,0.00022746294111216357,0.009734075862299942
ESPL1,95.07678935388039,2.014633054772641,0.5480167127565158,3.6762255746527646,0.0002367102333308653,0.009840382557040256
BG00775,203.33950361847928,-1.8218162737713124,0.49905503207722096,-3.650531818481724,0.00026169788608018326,0.010576956229074072
BG00899,24.427613348669166,-2.1339024539898115,0.6037384497077164,-3.534481620348816,0.0004085758498849932,0.01606696923196392
BG01480,18.320625289925374,-2.3540500896911594,0.6899296656843966,-3.4120145962356734,0.0006448466023208109,0.02469083700991526
BG00638,21.527655925069464,2.1722551304433377,0.643917645556037,3.3734983742642246,0.000742194847733542,0.027689577011597525
STAT1,140.32238281372486,2.0562510320191048,0.6112526227741844,3.3639954339774625,0.0007682281419869046,0.027944298664773656
BG01594,81.23280310293075,-1.724881766146338,0.5180760960463474,-3.3293984789292987,0.0008703378679401495,0.03088638043543701
ISG15,298.06292579850714,1.681061474725108,0.5212439716493836,3.225095283894965,0.0012593074836132322,0.04362600925374412
CYCS,103.928345223208,-2.2807455721586716,0.709139589570341,-3.216215263824923,0.001298933597458458,0.043952288007024574
MCM5,828.3467204204541,1.9990592703559953,0.6328975688520422,3.158582634441012,0.0015853835652477966,0.052425751987171455
BG00184,78.27811946619954,-1.7466150395168571,0.5635345305135888,-3.0993931071536,0.0019391753767816168,0.06270000384927228
BG01102,24.251466394370826,-2.0141094697843314,0.6586019668098807,-3.058158905203735,0.00222701448905468,0.07044143655596867
AURKB,591.3655262021613,1.7398530916180304,0.5732742494808006,3.0349402457789956,0.002405833471267745,0.07292682709780351
TP53,75.64752058604681,-1.5835183623816538,0.5217454324785902,-3.035040201231917,0.0024050362711649197,0.07292682709780351
TYMS,6975.134309221549,1.7286632523870926,0.571492352442025,3.0248230706857213,0.0024877861396618716,0.07387201700424537
CDC25C,34.36348995558167,1.8499954358972288,0.6137028204479126,3.0144809087678706,0.0025741941140045637,0.0749090487175328
BG01795,151.40062643157066,1.7839236895527453,0.6065736857733596,2.9409843047812187,0.003271711108571153,0.09190132336229336
BG00623,8.235081199142714,-2.428196310011385,0.8281373396465846,-2.932117891275909,0.003366589226218623,0.09190132336229336
CENPA,57.57825207642918,1.6647271171059637,0.5665129628204322,2.938550794703762,0.003297506191257457,0.09190132336229336
GBP1,3197.0078867267925,1.8700723901291467,0.6386714182078062,2.9280665093434264,0.0034107707639614033,0.09190132336229336
BG01380,23.655041341344667,2.049577532181826,0.7138904505560046,2.8709972665771586,0.004091790631645053,0.1082464612553373
BG01653,33.45767764965567,-2.0651765644161943,0.7307646890937756,-2.8260486518269357,0.004712610572089717,0.12244372111411675
BG01377,9.503595289729194,-2.209492554738102,0.7839082381059841,-2.8185601928058572,0.004823956532336574,0.12313783779911781
CENPF,25.47604804159484,1.9197474493415774,0.6896231772978858,2.7837629484316677,0.005373228895729598,0.13479393178080284
BIRC5,37.27140043913003,1.9152897203060157,0.689883251982677,2.7762519452408867,0.00549895780527928,0.135609891638667
BG00711,190.9326599627035,1.398636238605803,0.5085166869161073,2.750423485781389,0.005951828964569254,0.1443318523908044
BG01440,175.14216978422075,-1.5063892979404656,0.5493575818197252,-2.742092487284167,0.0061049149404005625,0.14561723341447244
BG01053,22.03427996385332,-2.184940926576161,0.8042316310019526,-2.7168055101912003,0.006591532912751246,0.15468839335569456
BG00628,274.36110443260503,-1.7854719218691804,0.6587098652073579,-2.7105589519402824,0.006716990691755524,0.15513049930959186
BG00118,536.0460640928308,-1.2663909513391534,0.46992977575096767,-2.6948514792777427,0.0070420012149809835,0.1600954963718333
BG00925,39.73327480144815,1.5142003143650051,0.5635732908307582,2.686785089004016,0.007214335379007824,0.16149012271471358
CCL5,53.65055849510491,1.5502014070392736,0.5919347993925359,2.618871890333436,0.008822107182753882,0.1914903509090989
